"Marital status","Application mode","Application order","Course","Daytime/evening attendance","Previous qualification","Previous qualification grade","Nationality","Mother's qualification","Father's qualification","Admission grade","Displaced","Educational special needs","Debtor","Gender","Scholarship holder","Age at enrollment","International","Semester 1 enrolled units","Semester 1 approved units","Semester 1 grade","Semester 2 enrolled units","Semester 2 approved units","Semester 2 grade","Unemployment rate","Inflation rate","GDP","Target"
"not single","Over 23 years old","2nd choice","Management (evening attendance)","evening","qualified",150,"Portuguese","Basic education","Basic education",122.5,"no","no","no","Male","no",47,"no",5,4,11.5,5,5,11.6,0.076,0.026,0.0032,"Dropout"
"single","Over 23 years old","2nd choice","Informatics Engineering","daytime","qualified",160,"Portuguese","Secondary education and above","Basic education",112,"no","no","no","Male","no",25,"no",5,0,0,5,0,0,0.094,-0.008,-0.0312,"Dropout"
"single","Over 23 years old","2nd choice","Advertising and Marketing Management","daytime","underqualified",170,"Portuguese","Secondary education and above","Basic education",110,"no","no","no","Male","yes",25,"no",6,6,14.1428571428571,6,6,13.5,0.155,0.028,-0.0406,"Graduate"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","underqualified",133.1,"Portuguese","Basic education","Basic education",149.5,"no","no","no","Male","no",48,"no",6,0,0,5,0,0,0.124,0.005,0.0179,"Dropout"
"single","Other","2nd choice","Management (evening attendance)","evening","qualified",120,"Portuguese","Basic education","Basic education",141,"no","no","no","Male","yes",32,"no",10,10,13.8,10,10,12.8,0.108,0.014,0.0174,"Graduate"
"single","Other","2nd choice","Management (evening attendance)","evening","overqualified",130,"Portuguese","Basic education","Basic education",130,"no","no","no","Male","no",38,"no",10,10,13.6,10,5,13.6,0.089,0.014,0.0351,"Dropout"
"single","Other","2nd choice","Social Service","daytime","overqualified",130,"Portuguese","Basic education","Basic education",130,"no","no","no","Male","no",37,"no",16,15,11.7333333333333,11,9,11.8888888888889,0.155,0.028,-0.0406,"Graduate"
"single","Over 23 years old","not 2nd choice","Management","daytime","qualified",120,"Portuguese","Basic education","Basic education",104,"no","no","no","Male","no",26,"no",5,1,10,5,1,10,0.108,0.014,0.0174,"Dropout"
"single","Other","2nd choice","Veterinary Nursing","daytime","overqualified",110,"Portuguese","Secondary education and above","Secondary education and above",110,"no","no","no","Male","no",23,"no",6,0,0,6,0,0,0.139,-0.003,0.0079,"Dropout"
"single","Other","2nd choice","Agronomy","daytime","overqualified",120,"Portuguese","Basic education","Basic education",120,"no","no","no","Male","no",23,"no",6,0,0,6,0,0,0.155,0.028,-0.0406,"Enrolled"
"single","Other","2nd choice","Agronomy","daytime","overqualified",130,"Portuguese","Secondary education and above","Secondary education and above",130,"no","no","no","Male","no",20,"no",6,4,10.8,6,4,12,0.124,0.005,0.0179,"Enrolled"
"single","Over 23 years old","2nd choice","Nursing","daytime","overqualified",150,"Portuguese","Secondary education and above","Basic education",127,"yes","no","no","Male","no",26,"no",7,6,13.0466666666667,8,7,13.30625,0.111,0.006,0.0202,"Dropout"
"single","Other","2nd choice","Social Service (evening attendance)","evening","qualified",120,"Portuguese","Basic education","Basic education",100,"no","no","no","Female","no",45,"no",9,8,11,7,6,10.8333333333333,0.127,0.037,-0.017,"Enrolled"
"single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","underqualified",100,"Portuguese","Basic education","Basic education",111,"yes","no","no","Female","yes",26,"no",6,3,12.3333333333333,6,3,11.6666666666667,0.076,0.026,0.0032,"Enrolled"
"single","Other","2nd choice","Social Service (evening attendance)","evening","overqualified",133.1,"Portuguese","Other","Other",130,"no","no","no","Female","no",26,"no",11,10,11.8,7,7,13.2857142857143,0.076,0.026,0.0032,"Graduate"
"single","Over 23 years old","2nd choice","Management (evening attendance)","evening","qualified",130,"Portuguese","Basic education","Basic education",130.1,"no","no","no","Female","no",25,"no",5,3,11,5,3,11.25,0.108,0.014,0.0174,"Enrolled"
"single","Other","not 2nd choice","Nursing","daytime","qualified",145,"Portuguese","Secondary education and above","Secondary education and above",127.5,"yes","no","no","Female","no",18,"no",8,8,13.11,8,8,13.11,0.094,-0.008,-0.0312,"Graduate"
"single","Other","2nd choice","Nursing","daytime","overqualified",130,"Portuguese","Basic education","Basic education",130,"yes","no","no","Female","no",27,"no",8,7,14.4142857142857,8,7,14.4142857142857,0.127,0.037,-0.017,"Graduate"
"not single","General contingent","not 2nd choice","Social Service (evening attendance)","evening","qualified",115,"Portuguese","Basic education","Secondary education and above",115,"no","no","no","Female","no",24,"no",5,0,0,5,0,0,0.108,0.014,0.0174,"Dropout"
"single","General contingent","2nd choice","Management","daytime","qualified",124,"Portuguese","Basic education","Basic education",126.8,"yes","no","no","Female","no",20,"no",5,5,12.3333333333333,5,5,12.2,0.155,0.028,-0.0406,"Graduate"
"single","General contingent","2nd choice","Nursing","daytime","qualified",124,"Portuguese","Secondary education and above","Basic education",116.7,"yes","no","no","Female","yes",18,"no",7,0,0,7,1,10,0.155,0.028,-0.0406,"Dropout"
"single","General contingent","not 2nd choice","Oral Hygiene","daytime","qualified",134,"Portuguese","Basic education","Basic education",128.5,"yes","no","no","Female","yes",18,"no",7,7,14.1,8,8,13.3125,0.127,0.037,-0.017,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",137,"Portuguese","Basic education","Basic education",127.5,"yes","no","no","Female","no",18,"no",8,8,13.045,8,8,13.045,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","2nd choice","Nursing","daytime","qualified",124,"Portuguese","Basic education","Basic education",117.5,"yes","no","no","Male","no",19,"no",8,5,12.858,8,5,12.858,0.094,-0.008,-0.0312,"Enrolled"
"single","Other","not 2nd choice","Nursing","daytime","qualified",136,"Portuguese","Secondary education and above","Secondary education and above",148.8,"yes","no","no","Female","yes",19,"no",8,8,14.2525,8,8,14.2525,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",126,"Portuguese","Basic education","Secondary education and above",120.2,"no","no","no","Female","yes",19,"no",7,5,14.06,7,7,11.2428571428571,0.124,0.005,0.0179,"Enrolled"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",142,"Portuguese","Basic education","Basic education",127.3,"yes","no","no","Female","no",18,"no",8,7,15.0757142857143,8,7,15.0757142857143,0.108,0.014,0.0174,"Graduate"
"single","General contingent","not 2nd choice","Animation and Multimedia Design","daytime","qualified",141,"Portuguese","Basic education","Basic education",136.1,"yes","no","no","Female","yes",18,"no",0,0,0,0,0,0,0.127,0.037,-0.017,"Enrolled"
"single","Other","not 2nd choice","Advertising and Marketing Management","daytime","qualified",129,"Portuguese","Secondary education and above","Secondary education and above",122.4,"yes","no","no","Female","no",19,"no",5,4,13.75,6,5,12.6,0.127,0.037,-0.017,"Enrolled"
"single","Other","not 2nd choice","Agronomy","daytime","overqualified",130,"Portuguese","Secondary education and above","Basic education",130,"yes","no","no","Female","no",23,"no",17,17,13.15,12,12,13.2142857142857,0.155,0.028,-0.0406,"Graduate"
"single","General contingent","not 2nd choice","Social Service","daytime","qualified",136,"Portuguese","Basic education","Basic education",121.7,"yes","no","no","Female","yes",21,"no",6,5,12.3333333333333,6,5,11.8,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",137,"Portuguese","Basic education","Basic education",122.7,"yes","no","no","Female","yes",18,"no",7,7,13.7785714285714,8,8,13.1222222222222,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","2nd choice","Basic Education","daytime","qualified",125,"Portuguese","Other","Basic education",129.2,"yes","no","yes","Female","no",20,"no",6,3,10.3333333333333,6,1,11,0.108,0.014,0.0174,"Dropout"
"single","Other","2nd choice","Journalism and Communication","daytime","qualified",119,"Portuguese","Basic education","Basic education",105,"yes","no","no","Female","no",23,"no",6,3,11.3333333333333,6,2,11,0.162,0.003,-0.0092,"Enrolled"
"single","General contingent","2nd choice","Social Service","daytime","qualified",132,"Portuguese","Basic education","Basic education",129.9,"yes","no","no","Female","no",20,"no",6,5,13.2,6,6,12.6666666666667,0.108,0.014,0.0174,"Enrolled"
"single","General contingent","2nd choice","Communication Design","daytime","qualified",152,"Portuguese","Basic education","Basic education",136.3,"no","no","no","Female","yes",18,"no",6,6,13.5714285714286,6,6,12.375,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","2nd choice","Social Service (evening attendance)","evening","qualified",125,"Portuguese","Basic education","Basic education",114.9,"no","no","no","Female","no",29,"no",11,11,12.75,7,7,13.4285714285714,0.094,-0.008,-0.0312,"Graduate"
"single","Over 23 years old","2nd choice","Journalism and Communication","daytime","underqualified",133.1,"Portuguese","Basic education","Secondary education and above",102,"yes","no","no","Male","no",28,"no",6,3,13,6,1,12,0.076,0.026,0.0032,"Dropout"
"single","General contingent","not 2nd choice","Advertising and Marketing Management","daytime","qualified",120,"Portuguese","Basic education","Basic education",111.3,"yes","no","no","Male","no",19,"no",5,3,11.3333333333333,5,4,11,0.094,-0.008,-0.0312,"Enrolled"
"single","Over 23 years old","2nd choice","Advertising and Marketing Management","daytime","qualified",148,"Portuguese","Basic education","Basic education",130.9,"no","no","yes","Male","no",24,"no",6,0,0,6,0,0,0.108,0.014,0.0174,"Dropout"
"single","Over 23 years old","2nd choice","Animation and Multimedia Design","daytime","qualified",133.1,"Portuguese","Basic education","Basic education",100,"no","no","yes","Male","yes",33,"no",0,0,0,0,0,0,0.155,0.028,-0.0406,"Dropout"
"single","General contingent","2nd choice","Management","daytime","qualified",115,"Portuguese","Basic education","Basic education",112.9,"yes","no","no","Male","no",19,"no",5,2,12.5,5,1,11,0.094,-0.008,-0.0312,"Dropout"
"single","General contingent","2nd choice","Veterinary Nursing","daytime","qualified",120,"Portuguese","Basic education","Basic education",112.7,"no","no","no","Male","no",19,"no",6,6,14.8571428571429,6,6,14.1428571428571,0.111,0.006,0.0202,"Graduate"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","qualified",133.1,"Portuguese","Basic education","Basic education",143,"no","no","no","Male","no",37,"no",9,8,12,7,7,11.5714285714286,0.127,0.037,-0.017,"Graduate"
"single","General contingent","2nd choice","Animation and Multimedia Design","daytime","qualified",168,"Portuguese","Basic education","Basic education",155.1,"yes","no","yes","Male","yes",18,"no",0,0,0,0,0,0,0.127,0.037,-0.017,"Graduate"
"not single","Over 23 years old","2nd choice","Management (evening attendance)","evening","qualified",130,"Portuguese","Basic education","Basic education",127.6,"no","no","no","Male","no",29,"no",5,0,0,5,0,0,0.076,0.026,0.0032,"Enrolled"
"not single","Over 23 years old","2nd choice","Nursing","daytime","underqualified",133.1,"Portuguese","Basic education","Basic education",146.6,"no","no","no","Male","no",37,"no",7,7,12.8285714285714,8,8,12.6875,0.139,-0.003,0.0079,"Graduate"
"single","Over 23 years old","2nd choice","Nursing","daytime","qualified",137,"Portuguese","Basic education","Basic education",141,"no","no","no","Male","no",36,"no",7,0,0,8,0,0,0.124,0.005,0.0179,"Dropout"
"single","General contingent","not 2nd choice","Advertising and Marketing Management","daytime","qualified",123,"Portuguese","Secondary education and above","Basic education",120.6,"yes","no","no","Male","no",19,"no",6,6,13.3333333333333,6,5,14,0.089,0.014,0.0351,"Graduate"
"single","Other","2nd choice","Nursing","daytime","qualified",150,"Portuguese","Basic education","Secondary education and above",110,"yes","no","no","Male","yes",33,"no",14,14,13.0728571428571,14,14,13.0728571428571,0.094,-0.008,-0.0312,"Graduate"
"single","Other","2nd choice","Informatics Engineering","daytime","qualified",120,"Portuguese","Secondary education and above","Secondary education and above",108.6,"no","no","no","Male","no",34,"no",7,5,12,7,3,11,0.155,0.028,-0.0406,"Dropout"
"single","General contingent","2nd choice","Tourism","daytime","qualified",145,"Portuguese","Secondary education and above","Basic education",134.9,"yes","no","no","Female","no",18,"no",6,6,15.5,6,6,16,0.124,0.005,0.0179,"Graduate"
"single","Other","2nd choice","Equinculture","daytime","overqualified",120,"Portuguese","Secondary education and above","Secondary education and above",120,"yes","no","no","Female","no",20,"no",6,0,0,6,0,0,0.124,0.005,0.0179,"Dropout"
"single","General contingent","2nd choice","Journalism and Communication","daytime","qualified",142,"Portuguese","Basic education","Basic education",141.3,"no","no","no","Female","yes",19,"no",6,6,14.7142857142857,6,6,15.1666666666667,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","not 2nd choice","Veterinary Nursing","daytime","qualified",147,"Portuguese","Basic education","Basic education",135.6,"yes","no","no","Female","no",20,"no",6,6,16.7142857142857,6,6,15.3333333333333,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","2nd choice","Social Service","daytime","qualified",125,"Portuguese","Basic education","Basic education",121.5,"yes","no","no","Female","yes",19,"no",6,6,10.8571428571429,6,6,11.6666666666667,0.124,0.005,0.0179,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",126,"Portuguese","Basic education","Basic education",125,"yes","no","no","Female","no",19,"no",7,6,11.6583333333333,8,6,12.4166666666667,0.124,0.005,0.0179,"Graduate"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",132,"not Portuguese","Basic education","Basic education",119.1,"yes","no","no","Female","yes",22,"yes",6,5,11.6,6,6,12,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","2nd choice","Advertising and Marketing Management","daytime","qualified",122,"Portuguese","Basic education","Basic education",126.6,"yes","no","no","Female","no",18,"no",6,6,14.625,6,6,14.1428571428571,0.111,0.006,0.0202,"Enrolled"
"single","General contingent","2nd choice","Journalism and Communication","daytime","qualified",123,"Portuguese","Secondary education and above","Basic education",116.7,"no","no","no","Female","yes",18,"no",6,6,12.1666666666667,6,6,12.6666666666667,0.124,0.005,0.0179,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",126,"Portuguese","Secondary education and above","Basic education",120.1,"yes","no","no","Female","no",19,"no",7,4,13.375,7,6,12.1166666666667,0.124,0.005,0.0179,"Enrolled"
"single","General contingent","2nd choice","Basic Education","daytime","qualified",128,"Portuguese","Basic education","Basic education",124.9,"no","no","no","Female","yes",19,"no",6,6,12.5,6,6,12.8333333333333,0.127,0.037,-0.017,"Graduate"
"single","Over 23 years old","2nd choice","Nursing","daytime","qualified",100,"Portuguese","Basic education","Secondary education and above",114,"yes","no","yes","Female","no",31,"no",7,5,12.56,7,5,12.56,0.076,0.026,0.0032,"Dropout"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",140,"Portuguese","Secondary education and above","Secondary education and above",131.1,"yes","no","no","Female","no",18,"no",7,7,13.19,8,8,14.23125,0.111,0.006,0.0202,"Graduate"
"single","General contingent","2nd choice","Social Service","daytime","qualified",145,"Portuguese","Secondary education and above","Basic education",129.3,"no","no","yes","Female","yes",19,"no",6,3,11,6,4,11.25,0.108,0.014,0.0174,"Graduate"
"single","General contingent","2nd choice","Animation and Multimedia Design","daytime","qualified",143,"Portuguese","Secondary education and above","Basic education",129.7,"yes","no","no","Female","no",18,"no",0,0,0,0,0,0,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","2nd choice","Social Service","daytime","qualified",132,"Portuguese","Basic education","Basic education",120.8,"no","no","no","Female","yes",19,"no",6,5,11.6,6,6,11.7142857142857,0.155,0.028,-0.0406,"Graduate"
"single","General contingent","2nd choice","Nursing","daytime","qualified",130,"Portuguese","Basic education","Basic education",135,"no","no","no","Female","no",19,"no",7,6,14.2666666666667,7,6,14.2666666666667,0.076,0.026,0.0032,"Graduate"
"single","General contingent","2nd choice","Management","daytime","qualified",129,"Portuguese","Basic education","Basic education",117.8,"no","no","no","Female","yes",19,"no",5,4,11,5,4,13.8571428571429,0.108,0.014,0.0174,"Enrolled"
"not single","Other","2nd choice","Social Service (evening attendance)","evening","overqualified",124.4,"Portuguese","Basic education","Other",130,"no","no","no","Female","no",30,"no",10,9,12.6666666666667,7,7,12.4285714285714,0.076,0.026,0.0032,"Graduate"
"single","Other","2nd choice","Journalism and Communication","daytime","qualified",127,"Portuguese","Basic education","Secondary education and above",117.6,"yes","no","no","Female","no",18,"no",6,0,0,6,3,11,0.162,0.003,-0.0092,"Enrolled"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",144,"Portuguese","Secondary education and above","Secondary education and above",130.8,"yes","no","no","Female","no",18,"no",8,7,12.7714285714286,8,7,12.7714285714286,0.127,0.037,-0.017,"Graduate"
"single","General contingent","not 2nd choice","Veterinary Nursing","daytime","qualified",121,"Portuguese","Secondary education and above","Secondary education and above",111.9,"yes","no","no","Female","no",21,"no",5,0,0,5,0,0,0.127,0.037,-0.017,"Dropout"
"single","Other","2nd choice","Social Service","daytime","qualified",150,"Portuguese","Secondary education and above","Basic education",145.9,"no","no","no","Female","yes",19,"no",6,6,15.5,6,6,13.5714285714286,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","2nd choice","Advertising and Marketing Management","daytime","qualified",115,"Portuguese","Secondary education and above","Secondary education and above",109.1,"yes","no","no","Female","yes",19,"no",6,6,13.2857142857143,6,5,14.6,0.124,0.005,0.0179,"Enrolled"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",125,"Portuguese","Secondary education and above","Basic education",120.3,"yes","no","no","Female","no",19,"no",7,5,11.7166666666667,7,5,13.7,0.139,-0.003,0.0079,"Enrolled"
"single","General contingent","2nd choice","Equinculture","daytime","qualified",117,"Portuguese","Basic education","Basic education",113.5,"yes","no","no","Female","no",19,"no",6,6,11.3333333333333,6,4,13.75,0.089,0.014,0.0351,"Dropout"
"single","General contingent","not 2nd choice","Advertising and Marketing Management","daytime","qualified",121,"Portuguese","Secondary education and above","Basic education",135.4,"yes","no","no","Female","yes",19,"no",6,6,13.3333333333333,6,5,13.4,0.089,0.014,0.0351,"Graduate"
"not single","Over 23 years old","2nd choice","Management (evening attendance)","evening","qualified",140,"Portuguese","Basic education","Basic education",130.2,"no","no","no","Female","yes",39,"no",5,4,12.3333333333333,5,2,10,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","not 2nd choice","Communication Design","daytime","qualified",129,"Portuguese","Secondary education and above","Secondary education and above",136.4,"yes","no","no","Female","no",18,"no",6,6,12.3333333333333,6,6,12.8333333333333,0.076,0.026,0.0032,"Enrolled"
"single","General contingent","2nd choice","Animation and Multimedia Design","daytime","qualified",130,"Portuguese","Secondary education and above","Secondary education and above",126.9,"yes","no","no","Female","no",20,"no",0,0,0,0,0,0,0.127,0.037,-0.017,"Dropout"
"single","General contingent","not 2nd choice","Management","daytime","qualified",131,"Portuguese","Basic education","Basic education",119.8,"yes","no","no","Female","no",19,"no",5,5,12.6,5,4,11.6,0.089,0.014,0.0351,"Graduate"
"single","General contingent","not 2nd choice","Management","daytime","qualified",137,"Portuguese","Secondary education and above","Secondary education and above",124.4,"yes","no","no","Female","no",18,"no",5,5,12.6,5,4,11,0.111,0.006,0.0202,"Enrolled"
"not single","Over 23 years old","2nd choice","Agronomy","daytime","qualified",150,"Portuguese","Secondary education and above","Secondary education and above",120,"no","no","yes","Female","no",34,"no",6,6,14.3333333333333,6,6,12.8333333333333,0.111,0.006,0.0202,"Enrolled"
"single","General contingent","not 2nd choice","Advertising and Marketing Management","daytime","qualified",117,"Portuguese","Basic education","Basic education",111.8,"no","no","no","Female","no",22,"no",5,3,12,5,2,11,0.076,0.026,0.0032,"Enrolled"
"single","Over 23 years old","2nd choice","Veterinary Nursing","daytime","qualified",133.1,"Portuguese","Basic education","Basic education",130,"yes","no","no","Female","no",24,"no",6,6,14.8571428571429,6,5,13.6,0.139,-0.003,0.0079,"Graduate"
"not single","Other","2nd choice","Management","daytime","qualified",130,"Portuguese","Basic education","Basic education",138,"no","no","no","Female","no",34,"no",15,12,11.9166666666667,13,11,13.1818181818182,0.076,0.026,0.0032,"Graduate"
"not single","Over 23 years old","2nd choice","Management (evening attendance)","evening","qualified",110,"Portuguese","Other","Other",114.6,"yes","no","no","Female","no",46,"no",5,0,0,5,0,0,0.076,0.026,0.0032,"Dropout"
"not single","Over 23 years old","not 2nd choice","Management","daytime","qualified",140,"Portuguese","Basic education","Basic education",108,"no","no","no","Female","no",50,"no",5,3,13.3333333333333,5,5,12.2,0.094,-0.008,-0.0312,"Enrolled"
"single","Over 23 years old","2nd choice","Management (evening attendance)","evening","qualified",140,"Portuguese","Basic education","Basic education",140,"no","no","no","Female","no",37,"no",5,0,0,5,0,0,0.155,0.028,-0.0406,"Dropout"
"single","General contingent","not 2nd choice","Veterinary Nursing","daytime","qualified",148,"Portuguese","Basic education","Basic education",134.7,"yes","no","no","Female","no",18,"no",6,6,17,6,6,15.5,0.089,0.014,0.0351,"Graduate"
"single","Over 23 years old","2nd choice","Veterinary Nursing","daytime","qualified",130,"Portuguese","Basic education","Basic education",110,"no","no","no","Female","yes",25,"no",6,3,11.6666666666667,6,2,11.3333333333333,0.111,0.006,0.0202,"Enrolled"
"not single","Over 23 years old","2nd choice","Agronomy","daytime","qualified",140,"Portuguese","Basic education","Basic education",104.8,"no","no","no","Female","no",46,"no",19,19,12.2105263157895,13,13,11.3846153846154,0.155,0.028,-0.0406,"Graduate"
"not single","Over 23 years old","2nd choice","Communication Design","daytime","qualified",160,"Portuguese","Secondary education and above","Secondary education and above",126.5,"no","no","no","Female","yes",30,"no",6,6,13,6,5,12.8571428571429,0.139,-0.003,0.0079,"Graduate"
"not single","General contingent","2nd choice","Management (evening attendance)","evening","qualified",130,"Portuguese","Basic education","Basic education",118.1,"no","no","yes","Female","no",37,"no",5,0,0,5,0,0,0.127,0.037,-0.017,"Dropout"
"not single","Over 23 years old","2nd choice","Management (evening attendance)","evening","qualified",120,"Portuguese","Basic education","Basic education",119.9,"no","no","no","Female","no",50,"no",5,2,10.5,5,3,11,0.127,0.037,-0.017,"Enrolled"
"single","Other","2nd choice","Agronomy","daytime","overqualified",160,"Portuguese","Basic education","Basic education",160,"yes","no","no","Female","no",20,"no",6,6,13.5714285714286,6,6,12.7142857142857,0.124,0.005,0.0179,"Graduate"
"not single","Over 23 years old","not 2nd choice","Oral Hygiene","daytime","underqualified",133.1,"Portuguese","Other","Other",100.5,"no","no","no","Female","no",39,"no",3,1,14,2,0,0,0.111,0.006,0.0202,"Dropout"
"not single","Over 23 years old","2nd choice","Journalism and Communication","daytime","underqualified",133.1,"Portuguese","Basic education","Basic education",110,"no","no","no","Female","no",53,"no",5,0,0,4,0,0,0.155,0.028,-0.0406,"Dropout"
"not single","Other","2nd choice","Management","daytime","qualified",100,"Portuguese","Basic education","Basic education",100,"yes","no","no","Female","no",54,"no",15,13,12.4615384615385,13,10,11.1,0.155,0.028,-0.0406,"Dropout"
"single","Other","2nd choice","Veterinary Nursing","daytime","overqualified",140,"Portuguese","Secondary education and above","Secondary education and above",140,"yes","no","no","Female","no",19,"no",6,4,14.4,6,5,13,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",109,"Portuguese","Secondary education and above","Secondary education and above",109,"yes","no","no","Female","no",20,"no",6,0,0,6,0,0,0.089,0.014,0.0351,"Dropout"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",130,"Portuguese","Secondary education and above","Basic education",120.9,"yes","no","yes","Female","no",18,"no",6,6,14.3333333333333,6,6,14.1666666666667,0.089,0.014,0.0351,"Graduate"
"single","Other","2nd choice","Agronomy","daytime","overqualified",130,"Portuguese","Secondary education and above","Secondary education and above",125.8,"no","no","yes","Female","no",21,"no",13,11,11.9090909090909,11,11,10.7272727272727,0.089,0.014,0.0351,"Graduate"
"single","General contingent","not 2nd choice","Communication Design","daytime","qualified",164,"Portuguese","Secondary education and above","Secondary education and above",161.2,"yes","no","no","Female","no",18,"no",6,6,13.7142857142857,6,6,14.375,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","2nd choice","Nursing","daytime","qualified",125,"Portuguese","Basic education","Basic education",122,"yes","no","yes","Female","no",19,"no",7,0,0,8,0,0,0.111,0.006,0.0202,"Dropout"
"single","General contingent","2nd choice","Nursing","daytime","qualified",137,"Portuguese","Secondary education and above","Secondary education and above",127.9,"yes","no","no","Female","yes",18,"no",7,5,13.46,7,7,12.2375,0.111,0.006,0.0202,"Dropout"
"single","General contingent","2nd choice","Journalism and Communication","daytime","qualified",133,"Portuguese","Secondary education and above","Secondary education and above",135.8,"yes","no","no","Female","no",19,"no",6,6,15,6,6,13.3333333333333,0.111,0.006,0.0202,"Graduate"
"single","General contingent","2nd choice","Animation and Multimedia Design","daytime","qualified",163,"Portuguese","Secondary education and above","Secondary education and above",149.7,"yes","no","no","Female","yes",18,"no",0,0,0,0,0,0,0.139,-0.003,0.0079,"Dropout"
"single","General contingent","not 2nd choice","Advertising and Marketing Management","daytime","qualified",160,"Portuguese","Secondary education and above","Secondary education and above",137.3,"yes","no","no","Female","no",19,"no",6,5,13.4,6,5,12.8,0.127,0.037,-0.017,"Graduate"
"not single","Other","2nd choice","Social Service (evening attendance)","evening","underqualified",133.1,"Portuguese","Other","Other",106,"yes","no","no","Female","no",48,"no",6,5,13,6,4,12.5,0.076,0.026,0.0032,"Enrolled"
"not single","Other","2nd choice","Social Service","daytime","qualified",120,"Portuguese","Basic education","Basic education",110,"no","no","yes","Female","no",34,"no",6,4,11.25,6,4,13.75,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","2nd choice","Veterinary Nursing","daytime","qualified",140,"Portuguese","Secondary education and above","Secondary education and above",146.4,"no","no","no","Female","no",18,"no",5,5,12.6,5,5,11.6,0.076,0.026,0.0032,"Graduate"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","qualified",140,"Portuguese","Basic education","Basic education",121,"no","no","no","Female","no",50,"no",6,6,12.6666666666667,6,6,11.8333333333333,0.108,0.014,0.0174,"Graduate"
"single","Other","2nd choice","Basic Education","daytime","qualified",140,"Portuguese","Basic education","Basic education",125.2,"no","no","yes","Female","no",41,"no",21,21,12.3333333333333,19,19,12.1052631578947,0.124,0.005,0.0179,"Graduate"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",115,"Portuguese","Secondary education and above","Secondary education and above",119.6,"yes","no","no","Female","yes",22,"no",6,5,12,6,5,11,0.076,0.026,0.0032,"Dropout"
"not single","Over 23 years old","2nd choice","Management","daytime","qualified",140,"Portuguese","Basic education","Basic education",142.8,"no","no","no","Female","no",43,"no",5,5,16.4,5,5,16.6,0.076,0.026,0.0032,"Graduate"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","underqualified",133.1,"Portuguese","Secondary education and above","Basic education",123.5,"no","no","no","Female","no",50,"no",1,0,0,6,0,0,0.108,0.014,0.0174,"Dropout"
"single","Over 23 years old","2nd choice","Agronomy","daytime","underqualified",133.1,"Portuguese","Basic education","Basic education",100,"no","no","no","Female","no",60,"no",6,6,12.75,6,4,14.75,0.139,-0.003,0.0079,"Graduate"
"not single","Over 23 years old","2nd choice","Management","daytime","qualified",110,"Portuguese","Basic education","Basic education",140,"no","no","no","Female","no",41,"no",5,4,14.5,5,5,13,0.094,-0.008,-0.0312,"Enrolled"
"not single","Over 23 years old","2nd choice","Management (evening attendance)","evening","underqualified",133.1,"Portuguese","Basic education","Basic education",150.3,"no","no","no","Female","no",47,"no",5,5,14.8,5,5,14.4,0.076,0.026,0.0032,"Graduate"
"single","General contingent","2nd choice","Animation and Multimedia Design","daytime","overqualified",116,"Portuguese","Secondary education and above","Secondary education and above",128.2,"no","no","no","Female","no",22,"no",17,17,10.3684210526316,17,17,11.5,0.111,0.006,0.0202,"Graduate"
"not single","Over 23 years old","2nd choice","Nursing","daytime","qualified",110,"Portuguese","Basic education","Basic education",114.3,"no","no","no","Female","no",41,"no",7,0,0,8,0,0,0.108,0.014,0.0174,"Dropout"
"not single","Other","2nd choice","Management (evening attendance)","evening","qualified",140,"Portuguese","Basic education","Basic education",117.3,"no","no","no","Female","no",28,"no",10,6,10.6666666666667,10,9,11.3333333333333,0.076,0.026,0.0032,"Enrolled"
